semilla;corte;ganancia;metrica;modelo
823819;9000;56,997;56,997;sin FE
823819;9500;56,737;56,737;sin FE
823819;10000;57,537;57,537;sin FE
823819;10500;56,997;56,997;sin FE
823819;11000;57,957;57,957;sin FE
823819;11500;59,257;59,257;sin FE
823819;12000;59,027;59,027;sin FE
823819;12500;58,247;58,247;sin FE
823819;13000;58,017;58,017;sin FE
319147;9000;57,617;57,617;sin FE
319147;9500;58,907;58,907;sin FE
319147;10000;58,217;58,217;sin FE
319147;10500;56,907;56,907;sin FE
319147;11000;57,487;57,487;sin FE
319147;11500;57,857;57,857;sin FE
319147;12000;57,947;57,947;sin FE
319147;12500;58,247;58,247;sin FE
319147;13000;58,297;58,297;sin FE
891017;9000;57,407;57,407;sin FE
891017;9500;57,137;57,137;sin FE
891017;10000;57,867;57,867;sin FE
891017;10500;58,007;58,007;sin FE
891017;11000;57,607;57,607;sin FE
891017;11500;57,447;57,447;sin FE
891017;12000;56,847;56,847;sin FE
891017;12500;55,357;55,357;sin FE
891017;13000;55,987;55,987;sin FE
662951;9000;57,677;57,677;sin FE
662951;9500;56,877;56,877;sin FE
662951;10000;57,357;57,357;sin FE
662951;10500;57,527;57,527;sin FE
662951;11000;57,507;57,507;sin FE
662951;11500;57,687;57,687;sin FE
662951;12000;57,197;57,197;sin FE
662951;12500;56,367;56,367;sin FE
662951;13000;56,757;56,757;sin FE
746411;9000;55,737;55,737;sin FE
746411;9500;56,007;56,007;sin FE
746411;10000;56,187;56,187;sin FE
746411;10500;55,887;55,887;sin FE
746411;11000;54,757;54,757;sin FE
746411;11500;55,677;55,677;sin FE
746411;12000;55,867;55,867;sin FE
746411;12500;55,567;55,567;sin FE
746411;13000;56,097;56,097;sin FE
240677;9000;57,927;57,927;sin FE
240677;9500;56,797;56,797;sin FE
240677;10000;57,717;57,717;sin FE
240677;10500;58,867;58,867;sin FE
240677;11000;57,787;57,787;sin FE
240677;11500;59,217;59,217;sin FE
240677;12000;58,197;58,197;sin FE
240677;12500;57,537;57,537;sin FE
240677;13000;58,467;58,467;sin FE
886307;9000;55,977;55,977;sin FE
886307;9500;55,817;55,817;sin FE
886307;10000;57,217;57,217;sin FE
886307;10500;57,657;57,657;sin FE
886307;11000;57,267;57,267;sin FE
886307;11500;57,067;57,067;sin FE
886307;12000;57,957;57,957;sin FE
886307;12500;58,177;58,177;sin FE
886307;13000;58,337;58,337;sin FE
607769;9000;56,497;56,497;sin FE
607769;9500;56,467;56,467;sin FE
607769;10000;58,197;58,197;sin FE
607769;10500;57,777;57,777;sin FE
607769;11000;57,897;57,897;sin FE
607769;11500;57,707;57,707;sin FE
607769;12000;57,867;57,867;sin FE
607769;12500;56,897;56,897;sin FE
607769;13000;57,877;57,877;sin FE
105097;9000;55,877;55,877;sin FE
105097;9500;55,667;55,667;sin FE
105097;10000;56,697;56,697;sin FE
105097;10500;58,257;58,257;sin FE
105097;11000;58,367;58,367;sin FE
105097;11500;58,067;58,067;sin FE
105097;12000;56,957;56,957;sin FE
105097;12500;57,017;57,017;sin FE
105097;13000;57,567;57,567;sin FE
848087;9000;55,087;55,087;sin FE
848087;9500;55,677;55,677;sin FE
